5,16,1763710671002242147,1763710671003192643,1763710671003224774,32131,32.131,950496,950.496
5,17,1763710671102189127,1763710671103004473,1763710671103026248,21775,21.775,815346,815.346
5,18,1763710671202181479,1763710671202972793,1763710671202993612,20819,20.819,791314,791.314
5,19,1763710671302203594,1763710671303306425,1763710671303330972,24547,24.547,1102831,1102.83
5,20,1763710671402160838,1763710671402946203,1763710671402967239,21036,21.036,785365,785.365
5,21,1763710671502155100,1763710671502780576,1763710671502809651,29075,29.075,625476,625.476
5,22,1763710671602153447,1763710671602729929,1763710671602754755,24826,24.826,576482,576.482
5,23,1763710671702148351,1763710671702671164,1763710671702696363,25199,25.199,522813,522.813
5,24,1763710671802159667,1763710671802738513,1763710671802763973,25460,25.46,578846,578.846
5,25,1763710671902208076,1763710671902892853,1763710671902916784,23931,23.931,684777,684.777
5,26,1763710672002290793,1763710672003525361,1763710672003552107,26746,26.746,1234568,1234.57
5,27,1763710672102167676,1763710672102774556,1763710672102792540,17984,17.984,606880,606.88
5,28,1763710672202206001,1763710672202991488,1763710672203008249,16761,16.761,785487,785.487
5,29,1763710672302169530,1763710672303359900,1763710672303378756,18856,18.856,1190370,1190.37
5,30,1763710672402170654,1763710672403305143,1763710672403324219,19076,19.076,1134489,1134.49
5,31,1763710672502155415,1763710672503033881,1763710672503056455,22574,22.574,878466,878.466
5,32,1763710672602153668,1763710672603037264,1763710672603060540,23276,23.276,883596,883.596
5,33,1763710672702153515,1763710672703216502,1763710672703241695,25193,25.193,1062987,1062.99
5,34,1763710672802166970,1763710672803152750,1763710672803187086,34336,34.336,985780,985.78
5,35,1763710672902160590,1763710672903080245,1763710672903107650,27405,27.405,919655,919.655
5,36,1763710673002160112,1763710673003137310,1763710673003163433,26123,26.123,977198,977.198
5,37,1763710673102152200,1763710673103438429,1763710673103470101,31672,31.672,1286229,1286.23
5,38,1763710673202165607,1763710673203154823,1763710673203180977,26154,26.154,989216,989.216
5,39,1763710673302222224,1763710673303136460,1763710673303163888,27428,27.428,914236,914.236
5,40,1763710673402194798,1763710673403226288,1763710673403253514,27226,27.226,1031490,1031.49
5,41,1763710673502160517,1763710673503232247,1763710673503263198,30951,30.951,1071730,1071.73
5,42,1763710673602161705,1763710673603234539,1763710673603265070,30531,30.531,1072834,1072.83
5,43,1763710673702152400,1763710673703196696,1763710673703223429,26733,26.733,1044296,1044.3
5,44,1763710673802160464,1763710673803104276,1763710673803130246,25970,25.97,943812,943.812
5,45,1763710673902159136,1763710673903101559,1763710673903126277,24718,24.718,942423,942.423
5,46,1763710674002162604,1763710674003155793,1763710674003182645,26852,26.852,993189,993.189
5,47,1763710674102158898,1763710674103099440,1763710674103123409,23969,23.969,940542,940.542
5,48,1763710674202160730,1763710674203084518,1763710674203107720,23202,23.202,923788,923.788
5,49,1763710674302157060,1763710674303084038,1763710674303108550,24512,24.512,926978,926.978
5,50,1763710674402182051,1763710674403086223,1763710674403108909,22686,22.686,904172,904.172
5,51,1763710674502155127,1763710674503104382,1763710674503132734,28352,28.352,949255,949.255
5,52,1763710674602159459,1763710674603124772,1763710674603148803,24031,24.031,965313,965.313
5,53,1763710674702212201,1763710674703212274,1763710674703235010,22736,22.736,1000073,1000.07
5,54,1763710674802181466,1763710674803272921,1763710674803298131,25210,25.21,1091455,1091.45
5,55,1763710674902161482,1763710674903213325,1763710674903241356,28031,28.031,1051843,1051.84
5,56,1763710675002159411,1763710675003116223,1763710675003141080,24857,24.857,956812,956.812
5,57,1763710675102158863,1763710675103132162,1763710675103161902,29740,29.74,973299,973.299
5,58,1763710675202176568,1763710675203099333,1763710675203133048,33715,33.715,922765,922.765
5,59,1763710675302215622,1763710675303133804,1763710675303161795,27991,27.991,918182,918.182
5,60,1763710675402172843,1763710675403179164,1763710675403209876,30712,30.712,1006321,1006.32
5,61,1763710675502161094,1763710675503085539,1763710675503119844,34305,34.305,924445,924.445
5,62,1763710675602161895,1763710675602913470,1763710675602940227,26757,26.757,751575,751.575
5,63,1763710675702190321,1763710675703126507,1763710675703154027,27520,27.52,936186,936.186
5,64,1763710675802229481,1763710675802950175,1763710675802981205,31030,31.03,720694,720.694
5,65,1763710675902154226,1763710675902969268,1763710675902999108,29840,29.84,815042,815.042
5,66,1763710676002153937,1763710676002827512,1763710676002855143,27631,27.631,673575,673.575
5,67,1763710676102164113,1763710676102725925,1763710676102751670,25745,25.745,561812,561.812
5,68,1763710676202151173,1763710676202639064,1763710676202662017,22953,22.953,487891,487.891
5,69,1763710676302191054,1763710676302816173,1763710676302842032,25859,25.859,625119,625.119
5,70,1763710676402165537,1763710676402687787,1763710676402710561,22774,22.774,522250,522.25
5,71,1763710676502160306,1763710676502907443,1763710676502938947,31504,31.504,747137,747.137
5,72,1763710676602160352,1763710676602679743,1763710676602699909,20166,20.166,519391,519.391
5,73,1763710676702163781,1763710676702761486,1763710676702790203,28717,28.717,597705,597.705
5,74,1763710676802167844,1763710676802946848,1763710676802969940,23092,23.092,779004,779.004
5,75,1763710676902170390,1763710676903117006,1763710676903136814,19808,19.808,946616,946.616
5,76,1763710677002234610,1763710677003380039,1763710677003399093,19054,19.054,1145429,1145.43
5,77,1763710677102200066,1763710677103241259,1763710677103259515,18256,18.256,1041193,1041.19
5,78,1763710677202162090,1763710677203371598,1763710677203392686,21088,21.088,1209508,1209.51
5,79,1763710677302163902,1763710677303226280,1763710677303250634,24354,24.354,1062378,1062.38
5,80,1763710677402165582,1763710677403139324,1763710677403165087,25763,25.763,973742,973.742
5,81,1763710677502156654,1763710677503091358,1763710677503113082,21724,21.724,934704,934.704
5,82,1763710677602222553,1763710677603314684,1763710677603340920,26236,26.236,1092131,1092.13
5,83,1763710677702180916,1763710677703112566,1763710677703133275,20709,20.709,931650,931.65
5,84,1763710677802185458,1763710677803380459,1763710677803405712,25253,25.253,1195001,1195
5,85,1763710677902159669,1763710677903071534,1763710677903089982,18448,18.448,911865,911.865
5,86,1763710678002168447,1763710678003216278,1763710678003249712,33434,33.434,1047831,1047.83
5,87,1763710678102158698,1763710678103226402,1763710678103249530,23128,23.128,1067704,1067.7
5,88,1763710678202161655,1763710678203217645,1763710678203237666,20021,20.021,1055990,1055.99
5,89,1763710678302161910,1763710678303218343,1763710678303238430,20087,20.087,1056433,1056.43
5,90,1763710678402160192,1763710678403086509,1763710678403116779,30270,30.27,926317,926.317
5,91,1763710678502155415,1763710678503080046,1763710678503111643,31597,31.597,924631,924.631
5,92,1763710678602160463,1763710678603107687,1763710678603137683,29996,29.996,947224,947.224
5,93,1763710678702160248,1763710678703122889,1763710678703150202,27313,27.313,962641,962.641
5,94,1763710678802183403,1763710678803123809,1763710678803156955,33146,33.146,940406,940.406
5,95,1763710678902182415,1763710678903144756,1763710678903172173,27417,27.417,962341,962.341
5,96,1763710679002209189,1763710679003217016,1763710679003246035,29019,29.019,1007827,1007.83
5,97,1763710679102164954,1763710679103235122,1763710679103264740,29618,29.618,1070168,1070.17
5,98,1763710679202217443,1763710679203271226,1763710679203298950,27724,27.724,1053783,1053.78
5,99,1763710679302179227,1763710679303148353,1763710679303174718,26365,26.365,969126,969.126
5,100,1763710679402158715,1763710679403161793,1763710679403189217,27424,27.424,1003078,1003.08
5,101,1763710679502154293,1763710679503038425,1763710679503062721,24296,24.296,884132,884.132
5,102,1763710679602154686,1763710679603095949,1763710679603124110,28161,28.161,941263,941.263
5,103,1763710679702196749,1763710679703125844,1763710679703148245,22401,22.401,929095,929.095
5,104,1763710679802159543,1763710679802985600,1763710679803010139,24539,24.539,826057,826.057
5,105,1763710679902208939,1763710679903022519,1763710679903048175,25656,25.656,813580,813.58
5,106,1763710680002189075,1763710680003176281,1763710680003202318,26037,26.037,987206,987.206
5,107,1763710680102155807,1763710680103029976,1763710680103054336,24360,24.36,874169,874.169
5,108,1763710680202220746,1763710680202943350,1763710680202964043,20693,20.693,722604,722.604
5,109,1763710680302226315,1763710680303115754,1763710680303136913,21159,21.159,889439,889.439
5,110,1763710680402186293,1763710680402978926,1763710680403000290,21364,21.364,792633,792.633
5,111,1763710680502226012,1763710680503069171,1763710680503090015,20844,20.844,843159,843.159
5,112,1763710680602215030,1763710680602979230,1763710680602999090,19860,19.86,764200,764.2
5,113,1763710680702150326,1763710680702810439,1763710680702832512,22073,22.073,660113,660.113
5,114,1763710680802167509,1763710680802754052,1763710680802782177,28125,28.125,586543,586.543
5,115,1763710680902154056,1763710680902700075,1763710680902729208,29133,29.133,546019,546.019
5,116,1763710681002150599,1763710681002654676,1763710681002682516,27840,27.84,504077,504.077
5,117,1763710681102160185,1763710681102737115,1763710681102759079,21964,21.964,576930,576.93
5,118,1763710681202156084,1763710681202519284,1763710681202543490,24206,24.206,363200,363.2
5,119,1763710681302165759,1763710681302662001,1763710681302684903,22902,22.902,496242,496.242
5,120,1763710681402156845,1763710681402746052,1763710681402766061,20009,20.009,589207,589.207
5,121,1763710681502187798,1763710681502983108,1763710681503001014,17906,17.906,795310,795.31
5,122,1763710681602197328,1763710681603040017,1763710681603059088,19071,19.071,842689,842.689
5,123,1763710681702198391,1763710681702950003,1763710681702967430,17427,17.427,751612,751.612
5,124,1763710681802224206,1763710681802944026,1763710681802963247,19221,19.221,719820,719.82
5,125,1763710681902151672,1763710681902825233,1763710681902857289,32056,32.056,673561,673.561
5,126,1763710682002151567,1763710682002776198,1763710682002800776,24578,24.578,624631,624.631
5,127,1763710682102149791,1763710682102654598,1763710682102680573,25975,25.975,504807,504.807
5,128,1763710682202180322,1763710682202788203,1763710682202811915,23712,23.712,607881,607.881
5,129,1763710682302205053,1763710682302796211,1763710682302814388,18177,18.177,591158,591.158
5,130,1763710682402177829,1763710682403080186,1763710682403102227,22041,22.041,902357,902.357
5,131,1763710682502182742,1763710682503089753,1763710682503115508,25755,25.755,907011,907.011
5,132,1763710682602199138,1763710682603088113,1763710682603105664,17551,17.551,888975,888.975
5,133,1763710682702168227,1763710682703055265,1763710682703077113,21848,21.848,887038,887.038
